İtalyanca Kelime;İngilizcesi;Türkçesi;İtalyanca Anlamı;İtalyanca Cümle -1;Cümle -1 Anlam;İtalyanca Cümle -2;Cümle -2 Anlam
Camera;Room / Bedroom;Oda / Yatak odası;Una stanza di una casa di un hotel o di un altro edificio;Vorrei una camera con vista sul mare;I would like a room with a sea view;;
Me stesso;Myself;Kendim / Kendi kendime;Per riferirsi alla propria persona e dare enfasi a “me”;Voglio migliorare me stesso ogni giorno;I want to improve myself every day;;
Certo ;Sure / Certain / Of course;Elbette / Tabii / Emin;Parola usata per esprimere sicurezza, conferma o accordo;Certo, posso aiutarti;Of course, I can help you;;
Cercare;To look for / To try;Aramak / Çalışmak, Denemek;Provare a trovare qualcuno o qualcosa, oppure tentare di fare qualcosa;Sto cercando un buon posto per mangiare;I am looking good place to eat;;
Poca;Little / Not much;Az;Foma femminile di “poco”, usata per indicare una piccola quantità;Ho poca acqua nella bottiglia;I have little water in the bottle;;
Assolutamente;Absolutely;Kesinlikle / Tamamen;In modo totale e senza alcun dubbio;Si, assolutamente. Voglio andare in Italia;Yes, absolutely. I want to go to Italy;;
Svegliare;To wake up someone up;Uyandırmak;Fare in modo che una persona smetta di dormire;Devo svegliare mio fratello alle sette;I have to wake my brother up at seven;;
Letto;Bed;Yatak;Un mobile usato per dormire e riposare;Vado a letto alle undici ;I go to bed at eleven;;
Pranzo ;Lunch;Öğle Yemeği;Il pasto che si mangia generalmente a meta giornata;Di solito pranzo con i miei amici;I usually have lunch with my friends;;
Forse ;Maybe / Perhaps;Belki;Parola usata quando qualcosa e’ possible ma non e’ certo;Forse domani andrò al mare;Maybe I will go to the seaside tomorrow;;
Ho sete;I am Thirsty;Susadım / Susamışım;Per dire che si sente il bisogno di bere;Ho sete, vorrei un po’ d’acqua;I’m thirsty, I would like some water;;
Fresca ;Fresh / Cool;Taze / Serin;Forma femminile di “fresco”, per indicare qualcosa nuovo, non caldo o appena preparato;Vorrei una bottiglia d’acqua fresca;I would like a bottle of cool water;;
Aiuto ;Help;Yardım;"Assistenza data a qualcuno che ne ha bisogno; può anche essere usata come esclamazione per chiedere soccorso";Ho bisogno di aiuto con questo esercizio ;I need help with this exercise;;
Mi sono ;I have … / I … myself ;-dım / -dim (dönüşlü fiillerde geçmiş zaman);Struttura usata con molti verbi riflessivi al passato prossimo;Mi sono svegliato alle sette;I woke up at seven;;
Intanto;Meanwhile / In the meantime ;Bu sırada / Bu arada;Nel frattempo, mentre succedo o si fa qualcos’altro;"Io preparo la cena; intanto tu puoi apparecchiare la tavola ";"I’ll prepare dinner; meanwhile, you can set the table";;
Con ;With;İle / Birlikte;Per indicare compagnia, unione o il mezzo con cui si fa qualcosa;Vado al mare con I miei genitori;I go to the seaside with my parents;;
Lunga;Long;Uzun ;Per indicare qualcosa che ha una grande grande lunghezza o durata;E’ stata una giornata lunga;It was a long day;;
Il regalo;Gift / Present;Hediye;Un oggetto dato a qualcuno per affetto, gratitudine o in occasione di un evento speciale;Ho comprato un regalo per la mia ragazza;I bought a gift for my girlfriend;;
Comprare ;To buy;Satın almak;Ottenere qualcosa pagando del denaro;Voglio comprare una nuova macchina fotografica;I want to buy a new camera;;
Uscire;To go out / To leave;Dışarı çıkmak / Çıkmak;Andare fuori da un luogo oppure lasciare un posto;Questa sera voglio uscire con i miei amici;This evening I want to go our with my friends;;
Vestirsi ;To get Dressed;Giyinmek;Mettersi i vestiti;Mi vesto velocemente la mattina;I got dressed quickly in the morning;;
Pronta;Ready;Hazır;Forma femminile di “pronto”, per indicare che una persona o ona cosa e’ preparata;Sei pronta per uscire;Are you ready to go out;;
Sicuro;Sure / Certain / Safe;Emin / Güvenli;Che non ha dubbi oppure non presenta pericoli;Sei sicuro di voler andare;Sei sicuro di voler andare;;
Qui;Here;Burada / Buraya;In questo luogo, vicino alla persona che parla;Rimango qui fino a domani;I am staying here until tomorrow;;
Inverno;Winter;Kış;La stagione piu fredda dell’anno, tra l’autunno e la primavera;In inverno fa spesso freddo;It is often cold in winter;;
Genitori ;Parents ;Ebeveynler;La madre e il padre di una persona;Vivo con I miei genitori;I live with my parents;;
Fammelo;Do it for me / Let me have it / show it to me;Onu benim için yap / Bana onu ver-göster;Usata per chiedere a qualcuno di fare o dare qualcosa a chi parla;Se hai un esempio, fammelo vedere;If you have an example show it to me;;
Troppo;Too much / Too;Çok fazla / Fazla;Indica una quantita o un grado superiore al necessario o al normale;Oggi ho troppo lavoro e poco tempo;Today I have too much work and little time;;
Fiore;Flower;Çiçek;La parte colorata di una pianta, spesso profumata;Ho comprato un fiore per la mia ragazza;I bought a flower for my girlfriend;;
Mi sono alzato;I got up;Kalktım / Yaktaktan kalktım;Verbo riflessivo “alzarsi”, usata per dire che una persone si e’ alzata del letto o da una posizione seduta;Questa mattina mi sono alzato alle sette ;This morning I go up at seven;;
Ho trovato;I found / I have found;Buldum;Al passato prossimo del verbo “trovare”, usata quando si trova una persona un luogo o una cosa;Finalmente ho trovato le mie chiavi;I finally found my keys;;
Portami via;Take me away;Beni götür / Beni buradan götür;Per chiedere a qualcuno di portare chi parla lontano da un luogo;Portami via da questo posto, per favore;Take me away from this place, please;;
Mi sento;I feel;Hissediyorum / Kendimi … hissediyorum;Del verbo “sentirsi” usata per descrivere come una persona si sente fisicamente o emotivamente;Oggi mi sento molto felice;Today I feel very happy;;
Morire;To die;Ölmek;"Smettere di vivere; in alcune espressioni informali indica anche una sensazione molo forte";Questa pianta sta per morire senza acqua;This plant is going to die without water;;
Montagna;Mountain;Dağ;Una grande elevazione naturale del terreno, generalmente alta e con pendii ripidi;In inverno mi piace andare in montagna;In winter I like to going to the mountains;;
Ombra;Shadow / Shade;Gölge;Una zona scura o meno luminosa dove la luce e’ bloccata da qualcosa;Fa molto caldo, voglio rimanere all’ombra;It is very hot, I want to stay in the shade;;
Che bel fior;What a beautiful flower;Ne güzel çiçek;Per mostrare ammirazione per un fiore bello;Guarda, Che bel fiore!;Look , what a beautiful flower!;;
Liberta;Freedom / Liberty;Özgürlük;La possibilità di vivere, scegliere e agire senza restrizioni eccessive;Per me viaggiare significa libertà;For me, traveling means freedom ;;
Stanza ;Room ;Oda;Uno spazio chiuso all’interno di una casa, di un hotel o di un altro edificio;La mia stanza e’ piccola ma molto comoda;My room is small but very comfortable;;
Partire;To leave / To depart;Ayrılmak / Yola çıkmak;Lasciare un luogo per andare verso un’altra destinazione;Domani parto per roma alle otto;Tomorrow I leave for Rome at eight;;
Giocare;To play;Oynamak;Pertecipare a un gioco, a uno sport o a un’attività divertente;Mi piace giocare a calcio con i miei amici;I like playing football with my friends;;
Preferire;To prefer;Tercih etmek;Scegliere una persona o una cosa rispetto a un’altra perché piace di piu;Preferisco viaggiare in estate;I prefer traveling in summer;;
Finire;To finish / To end;Bitirmek / Birmek;Arrivare alle fine di qualcosa o completare un’attività ;Finisco di lavorare alle sei;I finish working at six;;
Dimenticare ;To forget;Unutmak;Non ricordare piu una persona, una cosa o un’informazione;Non voglio dimenticare queste nuovo parole;I dont want to forget these new words;;
Ho fame;I’m hungry;Açım / Acıktım;Per dire che si sente il bisogno di mangiare;Ho fame, voglio mangiare qualcosa;I’m hungry I want to eat something;;
Aspettare ;To wait / To wait for;Beklemek;Rimanere in un luogo o per un certo tempo fino all’arrivo di qualcuno o qualcosa;Sto aspettando l’autobus;I’m waiting for the bus;;
Docca;Shower;Duş;Il lavaggio del corpo con acqua che cade dall’alto;Tu fai la doccia, intanto io preparo la colazione;You take a shower, meantime  I prepare breakfast;Faccio la doccia ogni mattina prima di uscire;I take a shower every morning before going out
Posto ;Place / Spot / Seat;Yer / Mekan / Koltuk;Un luogo o uno spazio in cui si torva, si mette o si fa qualcosa;Conosco un bel posto per mangiare;I know a nice place to eat;;
Pagare;To pay;Ödemek;Dare del denaro in cambio di qualcosa o per un servizio ricevuto;Posso pagare con la carta;Can I pay by card?;;
Aprire;To open;Açmak;Fare in modo che qualcosa non sia piu chiuso;Puoi aprire la finestra per favore;Can you open the window please;;
Pulire;To clean;Temizlemek;Togliere lo sporco da una persona, un oggetto o un luogo;Devo pulire la mia stanza prima di uscire;I have to clean my room before going out;;
Chiudere ;To close / To shut;Kapatmak;Fare in modo che qualcosa non sia piu aperto;Puoi chiudere la finestra per favore;Can you close the window please;;
Pranzare;To have lunch;Öğle yemeği yemek;Mangiare il pasto di meta giornata;Di solito pranzo con i miei genitori;I usually have lunch with my parents;;
Leggere ;To read;Okumak;Guardare e comprendere parole o testi scritti;Mi piace leggere un libro prima di dormire ;I like reading a book before sleeping;;
Praticare ;To practice;Pratik yapmak;Fare regolarmente un’attività per esercitarsi o migliorare;Cerco di praticare l’italiano ogni giorno;I try to practice Italian every day;;
Dare ;To give;Vermek ;Consegnare offrire o fornire qualcosa a qualcuno;Puoi darmi una mano, per favore;Can you give me a hand please;;
Stare ;To be / To stay / to remain;Olmak / Bulunmak /Kalmak ;Rimanere in un luogo o trovarsi in una certa condizione;Oggi sto a casa perché sono stanco;Today I’m staying at home because Im tired;;
Nuotare ;To swim;Yüzmek;Muoversi nell’acqua usando il corpo, le braccia e le gambe;Mi piace nuotare al mare in estate;I like swimming in the sea in summer;;
Frequentare ;To attend / To frequent / To date;Devam etmek / Sık gitmek / Görüşmek;Andare regolarmente in un luogo, partecipare a un corso oppure vedere regolarmente una persona;Frequento un corso di italiano due volte alla settimana;I attend an Italian course twice a week;;
Correre ;To run;Koşmak;Muoversi velocemente usando le gambe, piu rapidamente che camminando;Mi piace correre la mattina prima di lavorare;I like running in the morning before working;;
Prego;You’re welcome / Go ahead;Rica ederim / Buyurun;Per rispondere a un ringraziamento, invitare qualcuno a fare qualcosa o lasciarlo passare;Grazie per l’aiuto.                      Prego;Thanks for the help                          You’re welcome;;
Credere ;To believe / To think;İnanmak / Sanmak;Pensare che qualcosa sia vero oppure avere fiducia in qualcuno o qualcosa;Credo che imparare una lingua richieda tempo ;I believe that learning a language takes time;;
Guidare ;To drive / To guide;Araba kullanmak / Rehberlik etmek;Dondjurre un veicolo oppure mostrare a qualcuno la direzione da seguire;Mi piace guidare quando viaggio ;I like driving when I travel;;
Ricordare;To remember / To remind;Hatırlamak / Hatırlatmak;"Conservare o riportare qualcosa alla memoria; può anche significare far ricordare qualcosa a qualcuno";Non riesco a ricordare questa parola;I can’t remember this word;;
Decidere ;To decide;Karar vermek;Fare una scelta dopo aver pensato alle diverse possibilità;Ho deciso di studiare italiano ogni giorno;I decided to study italian every day;;
Imparare;To learn;Öğrenmek;Acquisire nuove conoscenze, informazioni o capacità attraverso lo studio o l’esperienza ;Noi impariamo qualcosa di nuovo ogni giorno;We learn something new every day;;
Amare ;To love;Sevmek / Aşık olmak;Provare un sentimento fore di affetto o amore verso qualcuno o qualcosa;Amo viaggiare e scoprire nuovi posti;I love traveling and discovering new places;;
Diventare ;To become;Olmak / Haline gelmek;Cambiare e passare da una condizione a un’altra;Voglio diventare piu bravo a parlare italiano;I want to become better at speaking italian ;;
Comprendere ;To understand / To comprehend ;Anlamak / Kavramak;Capire il significato di qualcosa come una parola una frase o una situazione;Riesco a comprendere molto frasi semplici in italiano;I can understand many simple sentences in Italian;;
A presto;See you soon;Yakında görüşürüz;Espressione usata per salutare qualcuno quando si pensa di rivederlo presto;Grazie per oggi, a presto;Thanks for today, see you soon;;
Regolarmente;Regularly;Düzenli olarak;In modo regolare, con una certa frequenza o seguendo un’abitudine;Cerco di praticare l'italiano regolarmente;I try to practice Italian regularly;;
Tre volte alla settimana;Three Times a week;Hafta üç kez;Per indicare che qualcosa accade tre volte durante una settimana;Vado a correre tre volte alla settimana;I go running three times a week;;
Attivita ;Activity / Businnes;Aktivite / Faaliyet;Qualcosa che una perone fa per lavoro, studio, sport o divertimento;Nel tempo libero faccio molte attività diverse;In my free time I do many different activities;;
Muoversi ;To move / To get around;Hareket etmek / bir yerden bir yere gitmek;Spostarsi da un luogo a un altro o cambiare posizione;In questa città e’ facile muoversi a piedi;In this city, it is easy to get around on foot;;
Pregare;To pray / To beg;Dua etmek / Yalvarmak, rica etmek;Rivolgersi a dio con una preghiera oppure chiedere qualcosa a qualcuno con molta insistenza;Ogni sera prega prima di andare a letto;Every evening He/She prays before going to bed;;
Suonare;To play an instrument;Enstrüman çalmak;Produrre musica con uno strumento oppure emettere un suono, come un telefona o un campanello;Mi piace suonare la chitarra nel tempo libero;I like playing the guitar in my free time;;
Per prima cosa;First of all / First thing;İlk olarak / Her şeyden önce;Per indicare la prima azione o cosa da fare;Per prima cosa, faccio colazione e poi faccio la doccia;First of all, I have breakfast and then I take a shower;;
Ripetere;To repeat;Tekrarlamak ;Dire o fare di nuovo qualcosa;Puoi ripetere piu lentamente per favore;Can you repeat more slowly please;;
Cominciare;To begin / To start;Başlamak ;Dare inizio a qualcosa o iniziare a fare un’attivita;Comincio a lavorare alle nove;I start working at nine;;
Appena;Just / As soon as;Henüz / -er -mez;Per indicare qualcosa successo da poco, immediatamente dopo qualcosa oppure in quantità molto piccola;Mi sono appena svegliato;I just woke up;;
Davanti ;In front / In front of;Önünde / Önde;In una posizione anteriore rispetto a qualcuno o qualcosa;La macchina e’ davanti a casa;The car is in front of the house;;
Dietro;Behind / at the back;Arkasında / arkada;In una posizione posteriore rispetto a qualcuno o qualcosa;Il parcheggio e’ dietro l’hotel;The parking lot is behind the hotel;;
Sopra;Above / On / Over;Üstünde / Yukarıda;In una posizione piu alta rispetto a qualcosa oppure sulla sua superfice;Il telefono e’ sopra il tavolo ;The phone is on the table;;
Sotto;Under / Below;Altında / Aşağıda;In una posizione piu bassa rispetto a qualcuno o qualcosa;Le scarpe sono sotto il letto;The shoes are under the bed;;
Vicino a;Near / Close to ;Yakında / Yakın;A poca distanze da una persona, un luogo o una cosa;C’e’ un ristorante vicino a casa mia;There is a restaurant near my house;;
Lontano da;Far from ;Uzağında / -den uzak;A grande distanza da una persona, un luogo o una cosa;La stazione e’ lontano da casa mia;The station is far from my home;;
Dentro ;Inside / In;İçinde / İçeri;Nella parte interna di un luogo, un oggetto o uno spazio;Il regalo e’ dentro la scatola;The gift is inside the box;;
Fuori ;Outside / Out;Dışarıda / Dışarı;Nella parte esterna di un luogo o lontano dall’interno;Fa caldo, quindi voglio mangiare fuori ;It’s hot, so I want to eat outside;;
Sono piena;I’m full ;Doydum / Tokum;Espressione usata per dire che si e’ mangiato abbastanza e non si ha piu fame;Grazie, non voglio altro. Sono pieno;Thanks. I don’t want anything else. I’m full;;
Ritornare;To return / To come back;Geri dönmek / Dönmek;Andare di nuovo in un luogo in cui si era già stati;Voglio ritornare in Italian l’anno prossimo;I want to return to Italy next year;;
Assaggiare ;To taste / To try;Tadına bakmak / Tatmak;Provare una piccola quantità di cibo o di una bevanda per sentirne il sapore;Vorrei assaggiare questo piatto italiano;I would like to try this Italian dish;;
Rispondere;To answer / To reply;Cevap vermek / Yanıtlamak;Dire o scrivere qualcosa in risposta a una domanda, un messaggio o una persona;Non riesco a rispondere a questo domanda;I can’t answer this question;;
Tutto ;Everything / All / Whole;Her şey / Tüm / Bütün;Indica la totalita delle cose o l’intera quantità di qualcosa;E’ tutto pronto per il viaggio ;Everything is ready for the trip;;
Ordinare;To order / To arrange;Sipariş vermek / Düzenlemek;"Chiedere cibo, bevande o prodotti; può anche significare mettere qualcosa in ordine";Vorrei ordinare una pizza e dell’acqua;I would like to order a pizza and some water;;
Seconde te;In your opinion / According to you;Sence / Sana göre;Per chiedere l’opinione di un’altra persona;Seconde te, qual e’ il posto piu bello in Italia;In your opinion what is the most beautiful place in Italy;;
Ora ;Now / Hour;Şimdi / Saat;Indica il momento presente oppure un periodo di sessanta minuti;Ora devo andare a casa;Now I have to go to home;;
Di nuovo;Again;Tekrar / Yeniden;"Un’altra volta; indica che qualcosa accade o viene fatto nuovamente";Puoi dirlo di nuovo per favore;Can you say it again please;;
Che ho detto;That I said / What I said;Söylediğim / Ne söyledim;Usata per riferirsi a qualcosa detto in precedenza;Non ricordo che cosa ho detto ieri;I don’t remember what I said yesterday;;
Piatto ;Dish / Plate;Yemek / Tabak;"Per servire il cibo; puo anche indicare una pietanza preparata da mangiare";Vorrei assaggiare un piatto tipico italiano;I would like to try a typical italian dish;;
Moglie;Wife;Eş / Karı;Una donna sposata, considerata in relazione alla persona con cui e’ sposata;Mia moglie ama viaggiare e fare fotografie;My wife loves traveling and taking photos;;
Marito;Husband;Eş / Koca;Una uomo sposata, considerata in relazione alla persona con cui e’ sposata;Mia marito lavora in centro ;My husband works in city centre;;
Mettere ;To put / To place;Koymak / Yerleştirmek;Collocare qualcosa in un luogo o in una determinata posizione;Puoi mettere il telefono sopra il tavolo;Can you put the phone on the table ;;
Dovrebbe;Should / Should be;-meli / -malı / Olmalı;Forma del verbo ‘dovere’ usata per dare un consiglio, esprimere una possibilità o dire ciò che sarebbe opportuno fare;Dovrebbe parlare più lentamente;He/She should speak more slowly;;
Traduzione;Translation;Çeviri / Tercüme;Il risultato dell’azione di tradurre parole o testi da una lingua a un’altra;Non conosco la traduzione di questa parola;I don’t know the translation of this word;;
Calcio;Football / Soccer / Kick;Futbol / Tekme;"Uno sport giocato da due squadre con un pallone; può anche indicare un colpo dato con il piede";Mi piace molto guardare e giocare a calcio;I really like watching and playing football;;
Qualcuno ;Someone / Somebody;Birisi / Biri;Una persona non specificata o di cui non si conosce l’identita;C’e’ qualcuno fuori dalla porta;There is someone outside the door;;
Oppure ;Or / Or else;Ya da / Veya;Per indicare un’alternativa o una scelta tra due o piu possibilità;Preferisci andare al mare oppure rimanere a casa;Do you prefer to go the seaside or stay at home;;
Seguire;To follow;Takip etmek / İzlemek;Andare dietro a qualcuno, prestare attenzione a qualcosa o continuare un percorso;Cerco di seguire la conversazione in italiano;I try to follow the conversation in italian;;
Scelta;Choice / Selection;Seçim / Tercih;Una decisione presa tra due o piu possibilità;Seconde me, questa e la scelta migliore;In my opinion, this is the best choice;;
Scoprire;To discover / To find out;Keşfetmek / Öğrenmek, Fark etmek;Trovare o conoscere qualcosa che prima non si conosceva;Mi piace viaggiare e scoprire nuovi posti;I like traveling and discovering new places;;
Spostarsi ;To move / To get around;Hareket etmek / Yer değiştirmek;Muoversi da un luogo a un altro, spesso usando un mezzo di trasporto;E’ facile spostarsi in città con i mezzi pubblici;It is easy to get around the city by public transport;;
Bottiglia;Bottle ;Şişe;Un contenitore, generalmente di vetro o plastica, usato per conservare liquidi ;Vorrei una bottiglia d’acqua fresca, per favore;I would like a bottle of cold water, please;;
Puo anche;It can also / He-She can also;Ayrıca … olabilir / O ayrıca … yapabilir;Per indicare un’altra cosa che qualcuno può fare;Puo anche pagare con la carta;You can also pay by card;;
Risultato;Result / Outcome;Sonuç;Cio che si ottiene alla fine di un’azione, un lavoro, una prova o una competizione;Sono molto contento del risultato;I am very happy with the result;;
Chissa;Who knows / I wonder/ Maybe;Kim bilir / Acaba / Belki;Espressione usata quando non si conosce qualcosa o si vuole esprimere curiosità, dubbio o possibilità;Chissa, forse un giorno vivrò in Italia ;Who knows, maybe one day I’ll live in Italy;;
Giovane;Young;Genç;Che ha pochi anni di eta o si trova nella prima parte della vita;Quando ero giovane, giocavo a calcio ogni giorno;When I was young, I played football every day;;
Vecchio;Old;Eski;Che ha molti anni oppure che esiste o viene usato da molto tempo;Questa macchina e’ vecchia, ma funziona ancora bene;This car is old but it still works well;;
Anziano;Elderly;Yaşlı / İleri yaşta;"Una persona che ha un’eta avanzata; e’ generalmente piu rispetto di “vecchio” quando si parla di persone";Un signore anziano mi ha chiesta aiuto;An elderly man asked me for help;;
Porta ;Door / Brings;Kapı / Getiriyor;"Puoi indicare l’apertura usata per entrare o uscire da un luogo; e’ anche una forma del verbo “portare”";Puoi chiudere la porta, per favore;Can you close the door please;;
Funzionare;To Function / To work;İşlemek / Çalışmak;Operare o svolgere correttamente la propria funzione;Il mio telefono non funziona bene;My phone doesn’t work well;;
Quando era;When he-she-it was;O … iken / … olduğu zaman;Per parlare di una persona, cosa o situazione nel passato;Quando era giovane, giocava a calcio ogni giorno;When he was young, He played football every day;;
Venire ;To come;Gelmek;Muoversi verso il luogo in cui si trova la persona che parla o verso un luogo specifico;Vuoi venire con me al ristorante;Do you want to come with me to the restaurant;;
Passare ;To pass / To spend / To stop by;Geçmek / zaman geçirmek / Uğramak;Muoversi attraverso un luogo, trascorrere del tempo oppure andare brevemente in un post;Mi piace passare il tempo con i miei amici;I like spending time with my friends;;
Chiamare ;To call / To name;Aramak / Çağırmak / Adlandırmak;Telefonare a qualcuno, attire la sua attenzione o dare un nome a qualcuno o qualcosa;Ti chiamo quando arrivo a casa;I’ll call you when I get home;;
Entrare ;To enter / To go in;Girmek / içeri girmek;Andare dall’esterno verso l’interno di un luogo;Posso entrare nella stanza;Can I enter the room;;
Riuscire ;To succeed / To manage / To be able to;Başarmak / Yapabilmek;Essere capace di fare qualcosa, spesso dopo uno sforzo o una difficolta;Non riesco a capire quando parlano velocemente;I can’t understand when they speak quickly;;
Salvare ;To save / To rescue;Kaydetmek / Kurtarmak;Conservare qualcosa per usarlo in futuro oppure proteggere qualcuno o qualcosa da un pericolo;Non dimenticare di salvare il documento prima di chiudere il programma;Don’t forget to save the document before closing the program;;
Ridurre ;To reduce / To decrease;Azaltmak / Düşürmek;Rendere qualcosa minore in quantità, dimensione, intensità o importanza;Sto cercando di ridurre il tempo che passo al telefono ;I’m trying to reduce the time I spend one my phone;;
Fissare ;To set / To arrange / To fix;Belirlemek / Ayarlamak / Sabitlemek;Stabilire qualcosa, come una data o un appuntamento, oppure rendere qualcosa stabile in una posizione;Vorrei fissare un appuntamento per domani;I would like to make an appointment for tomorrow;;
Scegliere ;To choose / To select;Seçmek / Tercih etmek;Decidere quale persona, cosa o possibilità si preferisce tra diverse opzioni ;E difficile scegliere tra queste due opzioni;It is difficult to choose between these two options;;
Esprimere ;To express;İfade etmek / Dile getirmek;Comunicare un pensiero un’opinione un sentimento o un’idea;Non riesco ancora a esprimere bene la mie idee in italiano;I sitil can’t express my ideas well in italian;;
Abitare ;To live / To reside;Oturmak / İkamet etmek;Vivere stabilmente in una casa, una città o un determinato;Abito in una piccola città vicino a Edirne ;I live in a small town near Edirne;;
Insegnare ;To teach ;Öğretmek;Aiutare qualcuno a imparare qualcosa. Spiegando o mostrando come si fa;Mia madre insegna italiano in una scuola;My mother teaches italian at a school;;
In questo momento;At the moment / Right now;Şu anda / Tam şu an;Per indicare cio che sta succedendo proprio adesso;In questo momento sto studiano italiano;At the moment Im studying Italian;;
In realta;Actually / In reality;Aslında / Gerçekte;Per spiegare come stanno veramente le cose, spesso correggendo un’idea precedente;Pensavo fosse difficile ma in realtà e’ abbastanza semplice;I thought it was difficult but actually it is quite simple;;
A proposito;By the way / Speaking of;Bu arada / Lafı açılmışken;Per introdurre un nuovo argomento o qualcosa collegato a ciò di cui si sta parlando;A proposito hai deciso dove andare domani? ;By the way have you decided where to go tomorrow?;;
Sto cercando di;I’m trying to …;… yapmaya çalışıyorum;Per dire che si sta facendo uno sforzo o un tentativo per fare qualcosa;Sto cercando di parlare italiano ogni giorno;I’m trying to speak italian every day ;;
Probabilmente;Probably;Muhtemelen / Büyük ihtimalle;Avverbio usato per indicare che qualcosa e’ molto possibile, ma non completamente certo;Probabilmente domani rimarrò a casa;Tomorrow I will stay at home probably ;;
Dipende;It depends ;Duruma bağlı / Değişir;Quando una risposta cambia in base alla situazione o ad altri fattori;Andiamo al mare domani? - Dipende del tempo;Are we going to the seaside tomorrow? - It depends on the weather;;
La prima volta;The first time;İlk kez / İlk sefer;La prima occasione in cui si fa, si vede o si vive qualcosa;E’ la prima volta che visito Roma.;It’s the first time I’ve visited Rome;;
Parlero;I will speak;Konuşacağım;Forma futura del verbo “parlare”, usata per dire che si parlerà in un momento futuro;Domani parlero con il mio amico italiano;Tomorrow I will talk with my Italian friend;;
Dormiro;I will sleep;Uyuyacağım;Forma futura del verbo “dormire”, usata per parlare del dormire in un momento futuro;Stasera dormirò presto perche sono stanco;Tonight I will sleep early because Im tired;;
Leggero;I will read;Okuyacağım;Forma futuro del verbo “leggere”, usata per dire che si leggera qualcosa in futuro;Domani leggero questo libro in italiano;"Tomorrow I will read this book in Italian
";;
Ragazzo ;;;;;;;
Che ;;;;Il libro che ho letto e’ bellissimo;The book that I read is wonderful;;
Davvero;Really? / Truly / Indeed;;;;;;
Che cosa;;;;;;;
Sono stato;;;;;;;
Io ero;;;;;;;
Vero;;;;;;;
Sinistra;;;;;;;
Destra;;;;;;;
Perdere;;;;;;;
Mancare ;;;;;;;
Dove;;;;;;;
Su ;Abıut ;;;;;;
Merda ;;;;;;;
D’accordo;;;;;;;
Perfino ;Even;;;;;;
Ottimo;;;;;;;
Bambino;;;;;;;
Quattro;;;;;;;
Venti;;;;;;;
Cento;;;;;;;
Finestra;;;;;;;
Dolce ;;;;;;;
Appuntamento;;;;;;;
Ultimamente;;;;;;;
Qualche ;;;;;;;
Constante ;;;;;;;
Abbuffarsi ;;;;;;;
Collega;;;;;;;
Disponible;;;;;;;
Tanto ;;;;;;;
Boh;;;;;;;
Hai visto;;;;;;;
Tagliare ;;;;;;;
Cappelli ;;;;;;;
Pure ;;;;;;;
Risposta;;;;;;;
Completamento;;;;;;;
Abbastanza;;;;;;;
Dubbio;;;;;;;
Sa dirmi;;;;;;;
Ho ventidue anni;;;;;;;
Rapinare;;;;;;;
Va male;;;;;;;
Permesso ;;;;;;;
Che passa ;;;;;;;
Completare;;;;;;;
Tutte le mattine;;;;;;;
Stasera ;;;;;;;
Mentre ;;;;;;;
Giusta ;;;;;;;
Ci vediamo;;;;;;;
